date,node,cpu,int,mem,hd
2014-02-01 05:15:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 05:15:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:15:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 05:15:00,nodeIn02.ret.org,11.5,0.01,92.1,NA
2014-02-01 05:20:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 05:20:00,nodeId02.ret.org,9.5,0,91.25,NA
2014-02-01 05:20:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 05:20:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 05:25:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 05:25:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:25:00,nodeIn01.ret.org,9.5,0.03,91.96,NA
2014-02-01 05:25:00,nodeIn02.ret.org,12,0.01,92.1,NA
2014-02-01 05:30:00,nodeId01.ret.org,8,0.02,91.52,NA
2014-02-01 05:30:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:30:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 05:30:00,nodeIn02.ret.org,11.5,0.01,92.09,NA
2014-02-01 05:35:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 05:35:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:35:00,nodeIn01.ret.org,10.5,0.02,91.98,NA
2014-02-01 05:35:00,nodeIn02.ret.org,12.5,0.01,91.47,NA
2014-02-01 05:40:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 05:40:00,nodeId02.ret.org,9.5,0,91.22,NA
2014-02-01 05:40:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 05:40:00,nodeIn02.ret.org,12,0.01,91.47,NA
2014-02-01 05:45:00,nodeId01.ret.org,8.5,0.02,91.52,NA
2014-02-01 05:45:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 05:45:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 05:45:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 05:50:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 05:50:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:50:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 05:50:00,nodeIn02.ret.org,11.5,0.01,91.5,NA
2014-02-01 05:55:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 05:55:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 05:55:00,nodeIn01.ret.org,10.5,0.03,91.96,NA
2014-02-01 05:55:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:00:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 06:00:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 06:00:00,nodeIn01.ret.org,10.5,0.01,91.98,NA
2014-02-01 06:00:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:05:00,nodeId01.ret.org,9,0.03,91.51,NA
2014-02-01 06:05:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 06:05:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 06:05:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:10:00,nodeId01.ret.org,8.5,0.02,91.52,NA
2014-02-01 06:10:00,nodeId02.ret.org,10,0,91.25,NA
2014-02-01 06:10:00,nodeIn01.ret.org,9.5,0.01,91.97,NA
2014-02-01 06:10:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 06:15:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 06:15:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 06:15:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 06:15:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:20:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 06:20:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 06:20:00,nodeIn01.ret.org,10.5,0.01,91.97,NA
2014-02-01 06:20:00,nodeIn02.ret.org,11.5,0.01,91.5,NA
2014-02-01 06:25:00,nodeId01.ret.org,8.5,0.01,91.51,NA
2014-02-01 06:25:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 06:25:00,nodeIn01.ret.org,9.5,0.03,91.97,NA
2014-02-01 06:25:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:30:00,nodeId01.ret.org,8.5,0.06,91.5,NA
2014-02-01 06:30:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 06:30:00,nodeIn01.ret.org,10,0.01,91.96,NA
2014-02-01 06:30:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 06:35:00,nodeId01.ret.org,8.5,0.01,91.5,NA
2014-02-01 06:35:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 06:35:00,nodeIn01.ret.org,10.5,0.01,91.98,NA
2014-02-01 06:35:00,nodeIn02.ret.org,12,0.01,91.48,NA
2014-02-01 06:40:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 06:40:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 06:40:00,nodeIn01.ret.org,10,0.02,91.97,NA
2014-02-01 06:40:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 06:45:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 06:45:00,nodeId02.ret.org,9.5,0,91.25,NA
2014-02-01 06:45:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 06:45:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 06:50:00,nodeId01.ret.org,8.5,0.01,91.51,NA
2014-02-01 06:50:00,nodeId02.ret.org,9.5,0,91.22,NA
2014-02-01 06:50:00,nodeIn01.ret.org,10,0.02,91.96,NA
2014-02-01 06:50:00,nodeIn02.ret.org,12,0.01,91.5,NA
2014-02-01 06:55:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 06:55:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 06:55:00,nodeIn01.ret.org,10.5,0.03,91.96,NA
2014-02-01 06:55:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 07:00:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 07:00:00,nodeId02.ret.org,9.5,0,91.22,NA
2014-02-01 07:00:00,nodeIn01.ret.org,10.5,0.03,91.98,NA
2014-02-01 07:00:00,nodeIn02.ret.org,12,0.01,91.5,NA
2014-02-01 07:05:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 07:05:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 07:05:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 07:05:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 07:10:00,nodeId01.ret.org,8.5,0.02,91.51,NA
2014-02-01 07:10:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 07:10:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 07:10:00,nodeIn02.ret.org,12,0.01,91.5,NA
2014-02-01 07:15:00,nodeId01.ret.org,8.5,0.03,91.51,NA
2014-02-01 07:15:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 07:15:00,nodeIn01.ret.org,10.5,0.01,91.98,NA
2014-02-01 07:15:00,nodeIn02.ret.org,11.5,0.01,91.48,NA
2014-02-01 07:20:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 07:20:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 07:20:00,nodeIn01.ret.org,10,0.01,91.97,NA
2014-02-01 07:20:00,nodeIn02.ret.org,12,0.01,91.49,NA
2014-02-01 07:25:00,nodeId01.ret.org,8.5,0.02,91.52,NA
2014-02-01 07:25:00,nodeId02.ret.org,9.5,0,91.25,NA
2014-02-01 07:25:00,nodeIn01.ret.org,10,0.02,91.97,NA
2014-02-01 07:25:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 07:30:00,nodeId01.ret.org,8.5,0.02,91.5,NA
2014-02-01 07:30:00,nodeId02.ret.org,9.5,0,91.24,NA
2014-02-01 07:30:00,nodeIn01.ret.org,10.5,0.02,91.97,NA
2014-02-01 07:30:00,nodeIn02.ret.org,11.5,0.01,91.49,NA
2014-02-01 07:35:00,nodeId01.ret.org,8.5,0.03,91.5,NA
2014-02-01 07:35:00,nodeId02.ret.org,9.5,0,91.23,NA
2014-02-01 07:35:00,nodeIn01.ret.org,10,0.03,91.97,NA
2014-02-01 07:35:00,nodeIn02.ret.org,12,0.01,91.47,NA
